PUID,sg,trawl,sewage,farms,settle
461,0.05,0,0,0,66
462,0,9,0,0,0.071326901
463,0.05,0,0,0,221
464,0.05,0,0,0,204.8722679
465,0.05,0,0,0,220.2749859
466,0.05,0,0,0,221
467,0.05,0,0,0,956
468,0.05,0,0,0,956
469,0.05,0,0,0,5.18E-14
470,0.05,0,0,0,2.01E-10
471,0.35,0,0,0,2.82E-07
472,0.35,0,0,0,0.009874923
473,0.15,0,0,0,91.11946893
474,0.15,0,0,0,728
475,0,0,0,0,728
476,0.05,0,0,0,1223
477,0.05,0,0,0,117.3857902
478,0,0,0,0,3.523844347
479,0,0,0,0,0.23826347
480,0,0,0,0,54.33746951
481,0.05,0,0,0,56
482,0,0,0,0,56
483,0,0,0,0,56
484,0,0,0,0,260
485,0,0,0,0,0.000536991
486,0,0,0,0,1.990107411
487,0,0,0,0,51.18838782
488,0,0,0,0,53.34588806
489,0,0,0,0,1.839060571
490,0,0,0,0,0.390072293
491,0.05,7,0,0,491.1973596
492,0,0,0,0,698
493,0,0,0,0,1079
494,0.05,3,0,0,1079
495,0.15,7,0,0,0.333680932
496,0.05,13,0,0,1.51E-05
497,0,58,0,0,6.88E-10
498,0,0,0,0,0.237395108
499,0,0,0,0,1.578611552
500,0.05,0,0,0,1.579218016
501,0.35,0,0,0,30.59041725
502,0.35,0,0,0,680
503,0.35,0,0,0,158.1316317
504,0.35,0,0,0,0.513266646
505,0.05,0,0,0,103.3266215
506,0,0,0,0,1442
507,0,0,0,0,901
508,0.05,0,0,0,599.6756424
509,0,0,0,0,126.3187648
510,0,1,0,0,8.57E-20
511,0.05,1,0,0,3.11E-13
512,0.15,1,0,0,2.43E-10
513,0.15,0,0,0,3.76E-07
514,0.05,0,0,0,0.000184091
515,0,0,0,0,13.47014805
516,0,0,0,0,197
517,0,0,0,0,342
518,0.15,0,0,0,635
519,0.15,0,0,0,635
520,0.15,0,0,0,139.8967361
521,0.15,0,0,0,635
522,0,0,0,0,56
523,0,0,0,0,126
524,0,0,0,0,126
525,0.05,0,0,0,41
526,0.05,0,0,0,52
527,0.05,0,0,0,83
528,0.05,0,0,0,24.16532005
529,0,0,0,0,0.036166575
530,0,0,0,0,0.100833959
531,0,0,0,0,6.894053591
532,0,0,0,0,42
533,0.05,0,0,0,42
534,0,0,0,0,42
535,0.05,0,0,0,42
536,0,1,0,0,3.961166903
537,0,13,0,0,0.115247318
538,0,4,0,0,327
539,0.05,2,0,0,327
540,0,0,0,0,327
541,0,0,0,0,66
542,0,0,0,0,221
543,0.05,0,0,0,221
544,0,0,0,0,221
545,0,0,0,0,221
546,0,0,0,0,221
547,0,0,0,0,956
548,0,0,0,0,956
549,0.05,0,0,0,956
550,0.05,0,0,0,956
551,0,0,0,0,37.44866341
552,0,1,0,0,8.91E-18
553,0.15,0,0,0,3.85E-07
554,0.15,0,0,0,0.000220447
555,0,0,0,0,0.373348311
556,0,0,0,0,133.4218945
557,0,0,0,0,728
558,0.05,0,0,0,342
559,0.15,0,0,0,267.5327688
560,0.05,0,0,0,2.881159723
561,0.05,0,0,0,0.07061896
562,0,0,0,0,0.007043047
563,0.05,0,0,0,12.64306914
564,0,0,0,0,56
565,0.05,0,0,0,56
566,0.05,0,0,0,56
567,0.05,0,0,0,56
568,0.05,0,0,0,50.32123835
569,0.05,0,0,0,18.59206556
570,0,0,0,0,2.210336093
571,0,0,0,0,0.11681475
572,0,0,0,0,0.020627125
573,0,0,0,0,0.001336764
574,0,0,0,0,0.060700141
575,0,0,0,0,0.152271783
576,0,0,0,0,22.20982087
577,0.05,0,0,0,325
578,0,0,0,0,42
579,0,0,0,0,42
580,0,0,0,0,260
581,0.05,0,0,0,4.932064279
582,0,18,0,0,9.50363471
583,0,9,0,0,327
584,0.05,2,0,0,327
585,0.05,0,0,0,327
586,0,0,0,0,989
587,0,0,0,0,433
588,0.05,5,0,0,433
589,0,5,0,0,433
590,0,15,0,0,1.441995623
591,0,22,0,0,0.01538839
592,0,0,0,0,367
593,0,0,0,0,221
594,0,0,0,0,956
595,0.05,0,0,0,956
596,0,0,0,0,77.6124547
597,0.05,0,0,0,4.05E-08
598,0.15,0,0,0,0.000385077
599,0.15,0,0,0,0.418345829
600,0.05,0,0,0,160
601,0,0,0,0,160
602,0,0,0,0,728
603,0,0,0,0,1223
604,0.15,0,0,0,129.1662359
605,0,0,0,0,0.096514204
606,0,0,0,0,0.046152938
607,0,0,0,0,0.108459515
608,0,0,0,0,0.07358887
609,0,0,0,0,0.006776713
610,0,0,0,0,0.003924078
611,0,0,0,0,0.022415758
612,0,0,0,0,0.846571755
613,0,0,0,0,20.5488
614,0.05,0,0,0,56
615,0.05,0,0,0,56
616,0.05,0,0,0,325
617,0.05,0,0,0,325
618,0,0,0,0,260
619,0.05,0,0,0,260
620,0,0,0,0,2.6528468
621,0,0,0,0,51.05556916
622,0,7,0,0,29.65959738
623,0,8,0,0,0.103621877
624,0,6,0,0,327
625,0.05,0,0,0,327
626,0,0,0,0,327
627,0,0,0,0,327
628,0,0,0,0,433
629,0,7,0,0,433
630,0,18,0,0,81.97770556
631,0,31,0,0,0.016614015
632,0.05,0,0,0,220
633,0,0,0,0,220
634,0,0,0,0,956
635,0.05,0,0,0,956
636,0,0,0,0,35.43754351
637,0,0,0,0,260
638,0.05,0,0,0,260
639,0.05,0,0,0,260
640,0.05,0,0,0,260
641,0,0,0,0,0.230970018
642,0,6,0,0,194
643,0,0,0,0,194
644,0.05,0,0,0,32.35087302
645,0.05,0,0,0,194
646,0,0,0,0,194
647,0,0,0,0,147.3272859
648,0.05,0,0,0,220
649,0.05,0,0,0,137.9890792
650,0.05,0,0,0,220
651,0,0,0,0,956
652,0.05,0,0,0,956
653,0,0,0,0,2.490474333
654,0,1,0,0,2.11E-10
655,0.05,0,0,0,5.89E-08
656,0.35,0,0,0,0.000246495
657,0.35,0,0,0,0.387398615
658,0.15,0,0,0,728
659,0,0,0,0,728
660,0.05,0,0,0,1223
661,0.05,0,0,0,1223
662,0,0,0,0,19.95806483
663,0,0,0,0,0.303981094
664,0,0,0,0,474.7408225
665,0,0,0,0,1826
666,0,0,0,0,1826
667,0.05,0,0,0,56
668,0.05,0,0,0,56
669,0,0,0,0,56
670,0,0,0,0,260
671,0,0,0,0,260
672,0,0,0,0,260
673,0.05,0,0,0,260
674,0,0,0,0,0.213902758
675,0,16,0,0,0.040761968
676,0,6,0,0,0.050188074
677,0,1,0,0,1.427690579
678,0.05,0,0,0,194
679,0,0,0,0,194
680,0,6,0,0,433
681,0,12,0,0,0.235207857
682,0,34,0,0,0.003129655
683,0,0,0,0,7.668297398
684,0.05,0,0,0,220
685,0.05,0,0,0,220
686,0,0,0,0,220
687,0,0,0,0,220
688,0,0,0,0,956
689,0.05,0,0,0,956
690,0.05,1,0,0,4.08E-07
691,0.05,1,0,0,0.000212506
692,0.35,0,0,0,0.07423848
693,0.15,0,0,0,168.4504162
694,0.15,0,0,0,262
695,0,0,0,0,728
696,0,0,0,0,1223
697,0,0,0,0,1223
698,0,0,1,0,1223
699,0.05,0,0,0,206.7937947
700,0,0,0,0,0.745219511
701,0,0,0,0,2.505441366
702,0,0,0,0,20.97760666
703,0,0,0,0,1826
704,0,0,0,0,1826
705,0,0,0,0,1826
706,0,0,0,0,50
707,0,0,0,0,50
708,0,0,0,0,171
709,0.05,0,0,0,260
710,0.05,0,0,0,260
711,0.05,0,0,0,260
712,0.05,0,0,0,260
713,0,0,0,0,9.554408277
714,0,9,0,0,6.51E-05
715,0,2,0,0,1.433137589
716,0.05,1,0,0,194
717,0,0,0,0,194
718,0,1,0,0,7548
719,0,7,0,0,557.1630289
720,0,18,0,0,40.02367522
721,0,17,0,0,0.086863789
722,0,0,0,0,435
723,0.05,0,0,0,435
724,0.05,0,0,0,435
725,0.05,0,0,0,220
726,0,0,0,0,956
727,0.05,0,0,0,160.9863513
728,0.05,1,0,0,7.73E-05
729,0.35,0,0,0,0.336483769
730,0.35,0,0,0,154.1941255
731,0.15,0,0,0,262
732,0,0,0,0,262
733,0.05,0,0,0,1223
734,0.05,0,0,0,555.4053101
735,0,0,0,0,14.81501187
736,0,0,0,0,1.350199644
737,0,0,0,0,234.9874641
738,0.05,0,0,0,354
739,0,0,0,0,354
740,0.05,0,0,0,1826
741,0.05,0,0,0,1826
742,0.05,0,0,0,1826
743,0.05,0,0,0,317.1068502
